label	as_iri	uberon_id	note
placental disc		UBERON:8600038	confirmed_match (confidence: high)
chorionic ectoderm (from chorion)		UBERON:0003374	confirmed_match (confidence: high)
chorionic mesoderm		UBERON:0003265	confirmed_match (confidence: high)
chorionic mesoderm (from chorion)		UBERON:0003265	confirmed_match (confidence: high)
cell island		UBERON:8600050	confirmed_match (confidence: high)
chorionic ectoderm (from chorionic plate)		UBERON:0003374	confirmed_match (confidence: high)
anchoring villus		UBERON:8600033	confirmed_match (confidence: high)
floating villus		UBERON:8600032	confirmed_match (confidence: high)
immature intermediate villus		UBERON:8600029	confirmed_match (confidence: high)
mature intermediate villus		UBERON:8600031	confirmed_match (confidence: high)
stem villous vessel		UBERON:8600040	confirmed_match (confidence: high)
stem villus		UBERON:8600027	confirmed_match (confidence: high)
terminal villus		UBERON:8600030	confirmed_match (confidence: high)
trophoblast island		UBERON:8600050	confirmed_match (confidence: high)
villous mesenchyme		UBERON:8600023	possible_match (placental villous stroma (UBERON:8600023) is defined as 'A stroma that is part of a chorionic villus' and has synonym 'chorionic villous stroma'. This appears to be the same structure as villous mesenchyme, though stroma typically refers to mature connective tissue framework while mesenchyme refers to embryonic/developing connective tissue. In placental literature, these terms may be used somewhat interchangeably, but villous mesenchyme may specifically emphasize the embryonic/cellular aspect. Needs curator review to determine if this should be a synonym or a separate developmental stage.)
chorionic mesoderm (from chorionic plate)		UBERON:0003265	possible_match (UBERON:0003265 is named 'chorionic mesenchyme' and has 'chorion mesoderm' as an EXACT synonym. The UBERON term is defined as 'A mesenchyme that is part of a chorion' which is broader than just the chorionic plate component. However, in placental anatomy, the chorionic plate is the primary chorionic structure, so these likely refer to the same tissue. The chorionic plate definition (UBERON:0004027) states it 'consists of the mesoderm that lines the chorionic vesicle', confirming the mesoderm is a component of the plate. Recommend curator review to determine if NTR term should be treated as exact match or if a more specific term for 'mesenchyme of chorionic plate' is needed.)
