ClassID	ClassLabel	In ID	In Class	BFO_0000050 part_of ID	BFO_0000050 part_of Label	BFO_0000051 has part ID	BFO_0000051 has part Label
CHEBI:15440	squalene	-	-				
CHEBI:15440	squalene	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:15440	squalene	-	-				
CHEBI:15440	squalene	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:17029	chitin	-	-				
CHEBI:17029	chitin	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:17029	chitin	-	-				
CHEBI:17029	chitin	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:17089	glycoprotein	-	-				
CHEBI:17089	glycoprotein	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:17089	glycoprotein	-	-				
CHEBI:17089	glycoprotein	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:18246	(1->4)-beta-D-glucan	-	-				
CHEBI:18246	(1->4)-beta-D-glucan	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:18246	(1->4)-beta-D-glucan	-	-				
CHEBI:18246	(1->4)-beta-D-glucan	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:3311	calcium carbonate	-	-				
CHEBI:3311	calcium carbonate	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:3311	calcium carbonate	-	-				
CHEBI:3311	calcium carbonate	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:37395	mucopolysaccharide	-	-				
CHEBI:37395	mucopolysaccharide	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:37395	mucopolysaccharide	-	-				
CHEBI:37395	mucopolysaccharide	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:52255	hydroxylapatite	-	-				
CHEBI:52255	hydroxylapatite	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:52255	hydroxylapatite	-	-				
CHEBI:52255	hydroxylapatite	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CHEBI:59999	chemical substance	-	-				
CHEBI:59999	chemical substance	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CHEBI:59999	chemical substance	-	-				
CHEBI:59999	chemical substance	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000000	cell	-	-				
CL:0000000	cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000000	cell	-	-				
CL:0000000	cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000008	migratory cranial neural crest cell	-	-				
CL:0000008	migratory cranial neural crest cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000008	migratory cranial neural crest cell	-	-				
CL:0000008	migratory cranial neural crest cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000011	migratory trunk neural crest cell	-	-				
CL:0000011	migratory trunk neural crest cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000011	migratory trunk neural crest cell	-	-				
CL:0000011	migratory trunk neural crest cell	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000019	sperm	-	-				
CL:0000019	sperm	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000019	sperm	-	-				
CL:0000019	sperm	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000020	spermatogonium	-	-				
CL:0000020	spermatogonium	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000020	spermatogonium	-	-				
CL:0000020	spermatogonium	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000023	oocyte	-	-				
CL:0000023	oocyte	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000023	oocyte	-	-				
CL:0000023	oocyte	NCBITaxon:9606	Homo sapiens	NCBITaxon:9606	Homo sapiens		
CL:0000025	egg cell	-	-				
CL:0000025	egg cell	NCBITaxon:7955	Danio rerio	NCBITaxon:7955	Danio rerio		
CL:0000025	egg cell	-	-				
