iri,label,element,element label
UBERON:0011769,"cartilaginous projection",UBERON:0004529,"anatomical projection"
UBERON:0005410,"cartilaginous otic capsule",UBERON:0004637,"otic capsule"
UBERON:0007844,"cartilage element",UBERON:0004765,"skeletal element"
UBERON:0011094,"vertebra cartilage element",UBERON:0010913,"vertebral element"
UBERON:0002213,"cartilaginous joint",UBERON:0011134,"nonsynovial joint"
UBERON:0011247,"procoracoid cartilage",UBERON:0011248,"procoracoid element"
UBERON:0011607,"hyomandibular cartilage",UBERON:0011608,"hyomandibular element"
UBERON:0011615,"basihyal cartilage",UBERON:0011614,"basihyal element"
UBERON:0013632,"sesamoid cartilage",UBERON:0013631,"sesamoid element"
UBERON:0013747,"basibranchial cartilage",UBERON:0013746,"basibranchial element"
UBERON:0006286,"radius cartilage element",UBERON:0015001,"radius endochondral element"
UBERON:0010848,"radius-ulna cartilage element",UBERON:0015002,"radius-ulna endochondral element"
UBERON:0006306,"ulna cartilage element",UBERON:0015003,"ulna endochondral element"
UBERON:0010849,"tibia cartilage element",UBERON:0015004,"tibia endochondral element"
UBERON:0013505,"cervical vertebra cartilage element",UBERON:0015007,"cervical vertebra endochondral element"
UBERON:0013507,"thoracic vertebra cartilage element",UBERON:0015008,"thoracic vertebra endochondral element"
UBERON:0013509,"lumbar vertebra cartilage element",UBERON:0015009,"lumbar vertebra endochondral element"
UBERON:0010745,"sacral vertebra cartilage element",UBERON:0015010,"sacral vertebra endochondral element"
UBERON:0010902,"tibiotarsus cartilage element",UBERON:0015011,"tibiotarsus endochondral element"
UBERON:0010900,"tarsometatarsus cartilage element",UBERON:0015012,"tarsometatarsus endochondral element"
UBERON:0010851,"fibula cartilage element",UBERON:0015013,"fibula endochondral element"
UBERON:0010842,"calcaneum cartilage element",UBERON:0015014,"calcaneum endochondral element"
UBERON:0011162,"supraoccipital cartilage element",UBERON:0015015,"supraoccipital endochondral element"
UBERON:0010055,"stapes cartilage element",UBERON:0015016,"stapes endochondral element"
UBERON:0007374,"incus cartilage element",UBERON:0015017,"incus endochondral element"
UBERON:0010054,"malleus cartilage element",UBERON:0015018,"malleus endochondral element"
UBERON:0006288,"rib cartilage element",UBERON:0015019,"rib endochondral element"
UBERON:0010883,"forelimb cartilage element",UBERON:0015021,"forelimb endochondral element"
UBERON:0010885,"hindlimb cartilage element",UBERON:0015022,"hindlimb endochondral element"
UBERON:0006209,"basioccipital cartilage element",UBERON:0015048,"basioccipital endochondral element"
UBERON:0010752,"exoccipital cartilage element",UBERON:0015051,"exoccipital endochondral element"
UBERON:0010129,"femur cartilage element",UBERON:0015052,"femur endochondral element"
UBERON:0006245,"humerus cartilage element",UBERON:0015053,"humerus endochondral element"
UBERON:0010714,"iliac cartilage element",UBERON:0015054,"iliac endochondral element"
UBERON:0010718,"pubic cartilage element",UBERON:0015055,"pubic endochondral element"
UBERON:0006254,"ischial cartilage element",UBERON:0015056,"ischial endochondral element"
UBERON:0006290,"scapula cartilage element",UBERON:0015057,"scapula endochondral element"
UBERON:0010733,"alisphenoid cartilage element",UBERON:0015058,"alisphenoid endochondral element"
UBERON:0005687,"orbitosphenoid cartilage element",UBERON:0015059,"orbitosphenoid endochondral element"
UBERON:0009193,"sphenoid cartilage element",UBERON:0015060,"sphenoid endochondral element"
UBERON:0010881,"limb cartilage element",UBERON:0015061,"limb endochondral element"
UBERON:0015064,"autopod cartilage",UBERON:0015063,"autopod endochondral element"
UBERON:0015077,"centrale cartilage",UBERON:0015067,"centrale endochondral element"
UBERON:0015069,"distal carpal cartilage element",UBERON:0015068,"distal carpal endochondral element"
UBERON:0015079,"proximal carpal cartilage",UBERON:0015078,"proximal carpal endochondral element"
UBERON:0015082,"proximal tarsal cartilage",UBERON:0015081,"proximal tarsal endochondral element"
UBERON:0015085,"distal carpal bone 1 cartilage",UBERON:0015084,"distal carpal bone 1 endochondral element"
UBERON:0015088,"distal carpal bone 2 cartilage",UBERON:0015087,"distal carpal bone 2 endochondral element"
UBERON:0015091,"distal carpal bone 3 cartilage",UBERON:0015090,"distal carpal bone 3 endochondral element"
UBERON:0015094,"distal carpal bone 4 cartilage",UBERON:0015093,"distal carpal bone 4 endochondral element"
UBERON:0015097,"distal carpal bone 5 cartilage",UBERON:0015096,"distal carpal bone 5 endochondral element"
UBERON:0015100,"distal tarsal cartilage",UBERON:0015099,"distal tarsal endochondral element"
UBERON:0015103,"distal tarsal bone 1 cartilage",UBERON:0015102,"distal tarsal bone 1 endochondral element"
UBERON:0015106,"distal tarsal bone 2 cartilage",UBERON:0015105,"distal tarsal bone 2 endochondral element"
UBERON:0015109,"distal tarsal bone 3 cartilage",UBERON:0015108,"distal tarsal bone 3 endochondral element"
UBERON:0015112,"distal tarsal bone 4 cartilage",UBERON:0015111,"distal tarsal bone 4 endochondral element"
UBERON:0015115,"distal tarsal bone 5 cartilage",UBERON:0015114,"distal tarsal bone 5 endochondral element"
UBERON:0009291,"cartilaginous vertebral centrum",UBERON:0016491,"vertebral centrum element"
UBERON:0017751,"proximal mesopodial cartilage element",UBERON:0017750,"proximal mesopodial endochondral element"
UBERON:0018100,"distal mesopodial cartilage element",UBERON:0018099,"distal mesopodial endochondral element"
UBERON:0013503,"caudal vertebra cartilage element",UBERON:0018142,"caudal vertebra endochondral element"
UBERON:0035131,"auditory ossicle cartilage element",UBERON:0035130,"auditory ossicle endochondral element"
UBERON:0008254,"styliform cartilage",UBERON:0035561,"styliform element"
UBERON:0035007,"nasal concha cartilage",UBERON:0035612,"nasal turbinal"
