#curie_map:
#  AcarDv: http://purl.obolibrary.org/obo/AcarDv_
#  BtauDv: http://purl.obolibrary.org/obo/BtauDv_
#  CfamDv: http://purl.obolibrary.org/obo/CfamDv_
#  ChirDv: http://purl.obolibrary.org/obo/ChirDv_
#  CporDv: http://purl.obolibrary.org/obo/CporDv_
#  DpseDv: http://purl.obolibrary.org/obo/DpseDv_
#  DsimDv: http://purl.obolibrary.org/obo/DsimDv_
#  EcabDv: http://purl.obolibrary.org/obo/EcabDv_
#  FcatDv: http://purl.obolibrary.org/obo/FcatDv_
#  GgalDv: http://purl.obolibrary.org/obo/GgalDv_
#  GgorDv: http://purl.obolibrary.org/obo/GgorDv_
#  HsapDv: http://purl.obolibrary.org/obo/HsapDv_
#  MdomDv: http://purl.obolibrary.org/obo/MdomDv_
#  MmulDv: http://purl.obolibrary.org/obo/MmulDv_
#  MmusDv: http://purl.obolibrary.org/obo/MmusDv_
#  OanaDv: http://purl.obolibrary.org/obo/OanaDv_
#  OariDv: http://purl.obolibrary.org/obo/OariDv_
#  OcunDv: http://purl.obolibrary.org/obo/OcunDv_
#  PpanDv: http://purl.obolibrary.org/obo/PpanDv_
#  PtroDv: http://purl.obolibrary.org/obo/PtroDv_
#  RnorDv: http://purl.obolibrary.org/obo/RnorDv_
#  SsalDv: http://purl.obolibrary.org/obo/SsalDv_
#  SscrDv: http://purl.obolibrary.org/obo/SscrDv_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#mapping_set_id: http://purl.obolibrary.org/obo/life-stages/mappings.sssom.tsv
#license: http://creativecommons.org/licenses/by/4.0/
#subject_source: http://purl.obolibrary.org/obo/life-stages.owl
subject_id	subject_label	predicate_id	object_id	mapping_justification
AcarDv:0000000	lizard life cycle stage	semapv:crossSpeciesExactMatch	UBERON:0000105	semapv:UnspecifiedMatching
AcarDv:0000001	lizard life cycle	semapv:crossSpeciesExactMatch	UBERON:0000104	semapv:UnspecifiedMatching
AcarDv:0000002	prenatal stage	semapv:crossSpeciesExactMatch	UBERON:0000068	semapv:UnspecifiedMatching
AcarDv:0000003	immature stage	semapv:crossSpeciesExactMatch	UBERON:0000112	semapv:UnspecifiedMatching
AcarDv:0000004	mature stage	semapv:crossSpeciesExactMatch	UBERON:0000113	semapv:UnspecifiedMatching
AcarDv:0000005	adulthood stage	semapv:crossSpeciesExactMatch	UBERON:0018241	semapv:UnspecifiedMatching
AcarDv:0000006	aged stage	semapv:crossSpeciesExactMatch	UBERON:0007222	semapv:UnspecifiedMatching
BtauDv:0000000	life cycle stage	semapv:crossSpeciesExactMatch	UBERON:0000105	semapv:UnspecifiedMatching
BtauDv:0000001	life cycle	semapv:crossSpeciesExactMatch	UBERON:0000104	semapv:UnspecifiedMatching
BtauDv:0000002	prenatal stage	semapv:crossSpeciesExactMatch	UBERON:0000068	semapv:UnspecifiedMatching
BtauDv:0000003	immature stage	semapv:crossSpeciesExactMatch	UBERON:0000112	semapv:UnspecifiedMatching
BtauDv:0000004	mature stage	semapv:crossSpeciesExactMatch	UBERON:0000113	semapv:UnspecifiedMatching
BtauDv:0000005	adulthood stage	semapv:crossSpeciesExactMatch	UBERON:0018241	semapv:UnspecifiedMatching
BtauDv:0000006	aged stage	semapv:crossSpeciesExactMatch	UBERON:0007222	semapv:UnspecifiedMatching
BtauDv:0000078	postnatal stage	semapv:crossSpeciesExactMatch	UBERON:0000066	semapv:UnspecifiedMatching
CfamDv:0000000	life cycle stage	semapv:crossSpeciesExactMatch	UBERON:0000105	semapv:UnspecifiedMatching
CfamDv:0000001	life cycle	semapv:crossSpeciesExactMatch	UBERON:0000104	semapv:UnspecifiedMatching
CfamDv:0000002	prenatal stage	semapv:crossSpeciesExactMatch	UBERON:0000068	semapv:UnspecifiedMatching
CfamDv:0000003	immature stage	semapv:crossSpeciesExactMatch	UBERON:0000112	semapv:UnspecifiedMatching
CfamDv:0000004	mature stage	semapv:crossSpeciesExactMatch	UBERON:0000113	semapv:UnspecifiedMatching
CfamDv:0000005	adulthood stage	semapv:crossSpeciesExactMatch	UBERON:0018241	semapv:UnspecifiedMatching
CfamDv:0000006	aged stage	semapv:crossSpeciesExactMatch	UBERON:0007222	semapv:UnspecifiedMatching
CfamDv:0000007	postnatal stage	semapv:crossSpeciesExactMatch	UBERON:0000066	semapv:UnspecifiedMatching
ChirDv:0000000	life cycle stage	semapv:crossSpeciesExactMatch	UBERON:0000105	semapv:UnspecifiedMatching
ChirDv:0000001	life cycle	semapv:crossSpeciesExactMatch	UBERON:0000104	semapv:UnspecifiedMatching
ChirDv:0000002	prenatal stage	semapv:crossSpeciesExactMatch	UBERON:0000068	semapv:UnspecifiedMatching
ChirDv:0000003	zygote stage	semapv:crossSpeciesExactMatch	UBERON:0000106	semapv:UnspecifiedMatching
ChirDv:0000004	cleavage stage	semapv:crossSpeciesExactMatch	UBERON:0000107	semapv:UnspecifiedMatching
ChirDv:0000005	2-cell stage embryo	semapv:crossSpeciesExactMatch	UBERON:0019249	semapv:UnspecifiedMatching
ChirDv:0000006	4-cell stage embryo	semapv:crossSpeciesExactMatch	UBERON:0007233	semapv:UnspecifiedMatching
ChirDv:0000007	8-cell stage embryo	semapv:crossSpeciesExactMatch	UBERON:0007236	semapv:UnspecifiedMatching
ChirDv:0000010	blastula stage	semapv:crossSpeciesExactMatch	UBERON:0000108	semapv:UnspecifiedMatching
ChirDv:0000011	gastrula stage	semapv:crossSpeciesExactMatch	UBERON:0000109	semapv:UnspecifiedMatching
ChirDv:0000012	neurula stage	semapv:crossSpeciesExactMatch	UBERON:0000110	semapv:UnspecifiedMatching
ChirDv:0000013	organogenesis stage	semapv:crossSpeciesExactMatch	UBERON:0000111	semapv:UnspecifiedMatching
ChirDv:0000014	postnatal stage	semapv:crossSpeciesExactMatch	UBERON:0000066	semapv:UnspecifiedMatching
ChirDv:0000015	immature stage	semapv:crossSpeciesExactMatch	UBERON:0000112	semapv:UnspecifiedMatching
ChirDv:0000016	nursing stage	semapv:crossSpeciesExactMatch	UBERON:0018685	semapv:UnspecifiedMatching
ChirDv:0000017	neonate stage	semapv:crossSpeciesExactMatch	UBERON:0007221	semapv:UnspecifiedMatching
ChirDv:0000022	infant stage	semapv:crossSpeciesExactMatch	UBERON:0034920	semapv:UnspecifiedMatching
ChirDv:0000034	juvenile stage	semapv:crossSpeciesExactMatch	UBERON:0034919	semapv:UnspecifiedMatching
ChirDv:0000035	mature stage	semapv:crossSpeciesExactMatch	UBERON:0000113	semapv:UnspecifiedMatching
ChirDv:0000036	adulthood stage	semapv:crossSpeciesExactMatch	UBERON:0018241	semapv:UnspecifiedMatching
