#curie_map:
#  BTO: "http://purl.obolibrary.org/obo/BTO_"
#  IDOMAL: "http://purl.obolibrary.org/obo/IDOMAL_"
#  UBERON: "http://purl.obolibrary.org/obo/UBERON_"
#  VO: "http://purl.obolibrary.org/obo/VO_"
#  mesh: "http://id.nlm.nih.gov/mesh/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/biopragmatics/biomappings/sssom/biomappings.sssom.tsv"
#mapping_set_version: "0.3.7.dev0"
#mapping_set_title: "Biomappings"
#mapping_set_description: "Biomappings is a repository of community curated and predicted equivalences and related mappings between named biological entities that are not available from primary sources. It's also a place where anyone can contribute curations of predicted mappings or their own novel mappings."
#creator_id:
#  - "orcid:0000-0001-9439-5346"
#  - "orcid:0000-0002-1216-4761"
#  - "orcid:0000-0002-2046-6145"
#  - "orcid:0000-0002-2627-0696"
#  - "orcid:0000-0002-6601-2165"
#  - "orcid:0000-0003-1307-2508"
#  - "orcid:0000-0003-4423-4370"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_provider: "https://github.com/biopragmatics/biomappings"
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	author_id	mapping_tool	confidence
UBERON:0000016	endocrine pancreas	skos:exactMatch		mesh:D007515	Islets of Langerhans	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0000017	exocrine pancreas	skos:exactMatch		mesh:D046790	Pancreas, Exocrine	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000018	compound eye	skos:exactMatch		IDOMAL:0002421	compound eye	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	mira	0.777778
UBERON:0000044	dorsal root ganglion	skos:exactMatch		mesh:D005727	Ganglia, Spinal	semapv:LexicalMatching		generate_uberon_mesh_mappings.py	0.900000
UBERON:0000066	fully formed stage	skos:exactMatch		IDOMAL:0001253	adult stage	semapv:LexicalMatching		mira	0.555556
UBERON:0000076	external ectoderm	skos:exactMatch		BTO:0006242	external ectoderm	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370	generate_uberon_bto_mappings.py	0.900000
UBERON:0000104	life cycle	skos:exactMatch	Not	mesh:D008018	Life Cycle Stages	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000105	life cycle stage	skos:exactMatch		mesh:D008018	Life Cycle Stages	semapv:ManualMappingCuration	orcid:0000-0001-9439-5346		
UBERON:0000106	zygote stage	skos:exactMatch		IDOMAL:0000302	zygote stage	semapv:ManualMappingCuration	orcid:0000-0003-4423-4370		
UBERON:0000113	post-juvenile adult stage	skos:exactMatch		IDOMAL:0001253	adult stage	semapv:LexicalMatching		mira	0.555556
