#curie_map:
#  AAO: "http://purl.obolibrary.org/obo/AAO_"
#  AEO: "http://purl.obolibrary.org/obo/AEO_"
#  CARO: "http://purl.obolibrary.org/obo/CARO_"
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  EHDAA2: "http://purl.obolibrary.org/obo/EHDAA2_"
#  EMAPA: "http://purl.obolibrary.org/obo/EMAPA_"
#  EV: "http://purl.obolibrary.org/obo/EV_"
#  FMA: "http://purl.obolibrary.org/obo/FMA_"
#  GO: "http://purl.obolibrary.org/obo/GO_"
#  KUPO: "http://purl.obolibrary.org/obo/KUPO_"
#  MA: "http://purl.obolibrary.org/obo/MA_"
#  NCIT: "http://purl.obolibrary.org/obo/NCIT_"
#  SCTID: "http://purl.obolibrary.org/obo/SCTID_"
#  VHOG: "http://purl.obolibrary.org/obo/VHOG_"
#  VSAO: "http://purl.obolibrary.org/obo/VSAO_"
#  WBbt: "http://purl.obolibrary.org/obo/WBbt_"
#  XAO: "http://purl.obolibrary.org/obo/XAO_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
subject_id	subject_label	predicate_id	object_id	mapping_justification	mapping_cardinality
CL:0000000	cell	skos:broadMatch	VHOG:0001533	semapv:UnspecifiedMatching	1:n
CL:0000000	cell	skos:exactMatch	GO:0005623	semapv:UnspecifiedMatching	1:n
CL:0000000	cell	semapv:crossSpeciesExactMatch	FMA:68646	semapv:UnspecifiedMatching	1:n
CL:0000000	cell	semapv:crossSpeciesExactMatch	KUPO:0000002	semapv:UnspecifiedMatching	1:n
CL:0000000	cell	semapv:crossSpeciesExactMatch	WBbt:0004017	semapv:UnspecifiedMatching	1:n
CL:0000000	cell	semapv:crossSpeciesExactMatch	XAO:0003012	semapv:UnspecifiedMatching	1:n
CL:0000015	male germ cell	skos:broadMatch	VHOG:0001531	semapv:UnspecifiedMatching	1:n
CL:0000015	male germ cell	semapv:crossSpeciesExactMatch	FMA:72290	semapv:UnspecifiedMatching	1:n
CL:0000015	male germ cell	semapv:crossSpeciesExactMatch	MA:0002765	semapv:UnspecifiedMatching	1:n
CL:0000017	spermatocyte	semapv:crossSpeciesExactMatch	EMAPA:31484	semapv:UnspecifiedMatching	1:n
CL:0000017	spermatocyte	semapv:crossSpeciesExactMatch	FMA:84049	semapv:UnspecifiedMatching	1:n
CL:0000017	spermatocyte	semapv:crossSpeciesExactMatch	WBbt:0006799	semapv:UnspecifiedMatching	1:n
CL:0000018	spermatid	semapv:crossSpeciesExactMatch	EMAPA:31486	semapv:UnspecifiedMatching	1:n
CL:0000018	spermatid	semapv:crossSpeciesExactMatch	FMA:72294	semapv:UnspecifiedMatching	1:n
CL:0000018	spermatid	semapv:crossSpeciesExactMatch	WBbt:0006800	semapv:UnspecifiedMatching	1:n
CL:0000019	sperm	semapv:crossSpeciesExactMatch	FMA:67338	semapv:UnspecifiedMatching	1:n
CL:0000019	sperm	semapv:crossSpeciesExactMatch	WBbt:0006798	semapv:UnspecifiedMatching	1:n
CL:0000020	spermatogonium	semapv:crossSpeciesExactMatch	EMAPA:31482	semapv:UnspecifiedMatching	1:n
CL:0000020	spermatogonium	semapv:crossSpeciesExactMatch	FMA:72291	semapv:UnspecifiedMatching	1:n
CL:0000021	female germ cell	skos:broadMatch	VHOG:0001530	semapv:UnspecifiedMatching	1:n
CL:0000023	oocyte	semapv:crossSpeciesExactMatch	FMA:18644	semapv:UnspecifiedMatching	1:n
CL:0000023	oocyte	semapv:crossSpeciesExactMatch	WBbt:0006797	semapv:UnspecifiedMatching	1:n
CL:0000024	oogonial cell	semapv:crossSpeciesExactMatch	FMA:83673	semapv:UnspecifiedMatching	1:1
CL:0000025	egg cell	semapv:crossSpeciesExactMatch	FMA:67343	semapv:UnspecifiedMatching	1:n
CL:0000031	neuroblast (sensu Vertebrata)	semapv:crossSpeciesExactMatch	FMA:70563	semapv:UnspecifiedMatching	1:1
CL:0000035	single fate stem cell	semapv:crossSpeciesExactMatch	FMA:70569	semapv:UnspecifiedMatching	1:1
CL:0000037	hematopoietic stem cell	skos:broadMatch	VHOG:0001485	semapv:UnspecifiedMatching	1:n
CL:0000037	hematopoietic stem cell	semapv:crossSpeciesExactMatch	FMA:70337	semapv:UnspecifiedMatching	1:n
CL:0000040	monoblast	semapv:crossSpeciesExactMatch	FMA:83553	semapv:UnspecifiedMatching	1:1
CL:0000047	neural stem cell	semapv:crossSpeciesExactMatch	FMA:86684	semapv:UnspecifiedMatching	1:1
CL:0000048	multi fate stem cell	semapv:crossSpeciesExactMatch	FMA:84789	semapv:UnspecifiedMatching	1:1
CL:0000052	totipotent stem cell	semapv:crossSpeciesExactMatch	FMA:84790	semapv:UnspecifiedMatching	1:1
CL:0000055	non-terminally differentiated cell	semapv:crossSpeciesExactMatch	FMA:84782	semapv:UnspecifiedMatching	1:1
CL:0000056	myoblast	skos:broadMatch	VHOG:0001529	semapv:UnspecifiedMatching	1:n
CL:0000056	myoblast	semapv:crossSpeciesExactMatch	FMA:70335	semapv:UnspecifiedMatching	1:n
CL:0000057	fibroblast	skos:broadMatch	VHOG:0001482	semapv:UnspecifiedMatching	1:n
CL:0000057	fibroblast	skos:narrowMatch	NCIT:C12482	semapv:UnspecifiedMatching	1:n
CL:0000057	fibroblast	semapv:crossSpeciesExactMatch	FMA:63877	semapv:UnspecifiedMatching	1:n
CL:0000058	chondroblast	semapv:crossSpeciesExactMatch	FMA:66783	semapv:UnspecifiedMatching	1:1
CL:0000059	ameloblast	semapv:crossSpeciesExactMatch	FMA:70576	semapv:UnspecifiedMatching	1:1
CL:0000060	odontoblast	semapv:crossSpeciesExactMatch	FMA:62999	semapv:UnspecifiedMatching	1:1
CL:0000061	cementoblast	semapv:crossSpeciesExactMatch	FMA:63002	semapv:UnspecifiedMatching	1:1
CL:0000062	osteoblast	semapv:crossSpeciesExactMatch	FMA:66780	semapv:UnspecifiedMatching	1:1
CL:0000064	ciliated cell	skos:broadMatch	VHOG:0001532	semapv:UnspecifiedMatching	1:n
CL:0000064	ciliated cell	semapv:crossSpeciesExactMatch	XAO:0000031	semapv:UnspecifiedMatching	1:n
CL:0000065	ependymal cell	semapv:crossSpeciesExactMatch	FMA:70550	semapv:UnspecifiedMatching	1:1
CL:0000066	epithelial cell	skos:exactMatch	CARO:0000077	semapv:UnspecifiedMatching	1:n
CL:0000066	epithelial cell	semapv:crossSpeciesExactMatch	FMA:66768	semapv:UnspecifiedMatching	1:n
CL:0000066	epithelial cell	semapv:crossSpeciesExactMatch	WBbt:0003672	semapv:UnspecifiedMatching	1:n
CL:0000067	ciliated epithelial cell	semapv:crossSpeciesExactMatch	FMA:70605	semapv:UnspecifiedMatching	1:1
CL:0000077	mesothelial cell	semapv:crossSpeciesExactMatch	FMA:66773	semapv:UnspecifiedMatching	1:1
CL:0000081	blood cell	semapv:crossSpeciesExactMatch	FMA:62844	semapv:UnspecifiedMatching	1:1
CL:0000084	T cell	skos:broadMatch	VHOG:0001479	semapv:UnspecifiedMatching	1:n
CL:0000084	T cell	semapv:crossSpeciesExactMatch	FMA:62870	semapv:UnspecifiedMatching	1:n
CL:0000091	Kupffer cell	semapv:crossSpeciesExactMatch	FMA:14656	semapv:UnspecifiedMatching	1:1
CL:0000092	osteoclast	semapv:crossSpeciesExactMatch	FMA:66781	semapv:UnspecifiedMatching	1:1
CL:0000094	granulocyte	semapv:crossSpeciesExactMatch	FMA:62854	semapv:UnspecifiedMatching	1:1
CL:0000097	mast cell	semapv:crossSpeciesExactMatch	FMA:66784	semapv:UnspecifiedMatching	1:1
CL:0000099	interneuron	semapv:crossSpeciesExactMatch	FMA:67313	semapv:UnspecifiedMatching	1:n
CL:0000099	interneuron	semapv:crossSpeciesExactMatch	WBbt:0005113	semapv:UnspecifiedMatching	1:n
CL:0000100	motor neuron	semapv:crossSpeciesExactMatch	FMA:83617	semapv:UnspecifiedMatching	1:n
CL:0000100	motor neuron	semapv:crossSpeciesExactMatch	WBbt:0005409	semapv:UnspecifiedMatching	1:n
CL:0000101	sensory neuron	semapv:crossSpeciesExactMatch	FMA:84649	semapv:UnspecifiedMatching	1:n
CL:0000101	sensory neuron	semapv:crossSpeciesExactMatch	WBbt:0005759	semapv:UnspecifiedMatching	1:n
CL:0000103	bipolar neuron	semapv:crossSpeciesExactMatch	FMA:67282	semapv:UnspecifiedMatching	1:1
CL:0000104	multipolar neuron	semapv:crossSpeciesExactMatch	FMA:67287	semapv:UnspecifiedMatching	1:1
CL:0000105	pseudounipolar neuron	semapv:crossSpeciesExactMatch	FMA:67305	semapv:UnspecifiedMatching	1:1
CL:0000106	unipolar neuron	semapv:crossSpeciesExactMatch	FMA:67278	semapv:UnspecifiedMatching	1:1
CL:0000107	autonomic neuron	semapv:crossSpeciesExactMatch	FMA:80121	semapv:UnspecifiedMatching	1:1
CL:0000108	cholinergic neuron	semapv:crossSpeciesExactMatch	FMA:84796	semapv:UnspecifiedMatching	1:n
CL:0000108	cholinergic neuron	semapv:crossSpeciesExactMatch	WBbt:0006840	semapv:UnspecifiedMatching	1:n
CL:0000114	surface ectodermal cell	semapv:crossSpeciesExactMatch	FMA:72552	semapv:UnspecifiedMatching	1:1
CL:0000115	endothelial cell	semapv:crossSpeciesExactMatch	FMA:66772	semapv:UnspecifiedMatching	1:1
CL:0000121	Purkinje cell	semapv:crossSpeciesExactMatch	FMA:67969	semapv:UnspecifiedMatching	1:1
CL:0000125	glial cell	semapv:crossSpeciesExactMatch	FMA:54536	semapv:UnspecifiedMatching	1:1
CL:0000126	macroglial cell	semapv:crossSpeciesExactMatch	FMA:54538	semapv:UnspecifiedMatching	1:1
CL:0000127	astrocyte	semapv:crossSpeciesExactMatch	FMA:54537	semapv:UnspecifiedMatching	1:1
CL:0000129	microglial cell	semapv:crossSpeciesExactMatch	FMA:54539	semapv:UnspecifiedMatching	1:n
CL:0000132	corneal endothelial cell	semapv:crossSpeciesExactMatch	FMA:70614	semapv:UnspecifiedMatching	1:1
CL:0000134	mesenchymal stem cell	semapv:crossSpeciesExactMatch	FMA:70546	semapv:UnspecifiedMatching	1:1
CL:0000135	fibrocyte	semapv:crossSpeciesExactMatch	FMA:63879	semapv:UnspecifiedMatching	1:1
CL:0000136	fat cell	semapv:crossSpeciesExactMatch	FMA:63880	semapv:UnspecifiedMatching	1:1
CL:0000137	osteocyte	skos:exactMatch	VSAO:0000124	semapv:UnspecifiedMatching	1:n
CL:0000137	osteocyte	semapv:crossSpeciesExactMatch	FMA:66779	semapv:UnspecifiedMatching	1:n
CL:0000138	chondrocyte	semapv:crossSpeciesExactMatch	FMA:66782	semapv:UnspecifiedMatching	1:1
CL:0000141	cementocyte	semapv:crossSpeciesExactMatch	FMA:63003	semapv:UnspecifiedMatching	1:1
CL:0000142	hyalocyte	semapv:crossSpeciesExactMatch	FMA:70620	semapv:UnspecifiedMatching	1:1
CL:0000147	pigment cell	skos:broadMatch	VHOG:0001678	semapv:UnspecifiedMatching	1:1
CL:0000148	melanocyte	skos:broadMatch	VHOG:0001679	semapv:UnspecifiedMatching	1:n
