?x	?label
<http://owltools.org/Q>	
<http://purl.obolibrary.org/obo/BFO_0000001>	"entity"
<http://purl.obolibrary.org/obo/BFO_0000002>	"continuant"
<http://purl.obolibrary.org/obo/BFO_0000004>	"independent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/CL_0000041>	"mature eosinophil"
<http://purl.obolibrary.org/obo/CL_0000043>	"mature basophil"
<http://purl.obolibrary.org/obo/CL_0000084>	"T cell"
<http://purl.obolibrary.org/obo/CL_0000091>	"Kupffer cell"
<http://purl.obolibrary.org/obo/CL_0000092>	"osteoclast"
<http://purl.obolibrary.org/obo/CL_0000094>	"granulocyte"
<http://purl.obolibrary.org/obo/CL_0000096>	"mature neutrophil"
<http://purl.obolibrary.org/obo/CL_0000097>	"mast cell"
<http://purl.obolibrary.org/obo/CL_0000129>	"microglial cell"
<http://purl.obolibrary.org/obo/CL_0000145>	"professional antigen presenting cell"
<http://purl.obolibrary.org/obo/CL_0000235>	"macrophage"
<http://purl.obolibrary.org/obo/CL_0000236>	"B cell"
<http://purl.obolibrary.org/obo/CL_0000451>	"dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000453>	"Langerhans cell"
<http://purl.obolibrary.org/obo/CL_0000484>	"connective tissue type mast cell"
<http://purl.obolibrary.org/obo/CL_0000485>	"mucosal type mast cell"
<http://purl.obolibrary.org/obo/CL_0000492>	"CD4-positive helper T cell"
<http://purl.obolibrary.org/obo/CL_0000542>	"lymphocyte"
<http://purl.obolibrary.org/obo/CL_0000545>	"T-helper 1 cell"
<http://purl.obolibrary.org/obo/CL_0000546>	"T-helper 2 cell"
<http://purl.obolibrary.org/obo/CL_0000556>	"megakaryocyte"
<http://purl.obolibrary.org/obo/CL_0000557>	"granulocyte monocyte progenitor cell"
<http://purl.obolibrary.org/obo/CL_0000560>	"band form neutrophil"
<http://purl.obolibrary.org/obo/CL_0000576>	"monocyte"
<http://purl.obolibrary.org/obo/CL_0000580>	"neutrophilic myelocyte"
<http://purl.obolibrary.org/obo/CL_0000581>	"peritoneal macrophage"
<http://purl.obolibrary.org/obo/CL_0000582>	"neutrophilic metamyelocyte"
<http://purl.obolibrary.org/obo/CL_0000583>	"alveolar macrophage"
<http://purl.obolibrary.org/obo/CL_0000588>	"odontoclast"
<http://purl.obolibrary.org/obo/CL_0000612>	"eosinophilic myelocyte"
<http://purl.obolibrary.org/obo/CL_0000614>	"basophilic myelocyte"
<http://purl.obolibrary.org/obo/CL_0000623>	"natural killer cell"
<http://purl.obolibrary.org/obo/CL_0000624>	"CD4-positive, alpha-beta T cell"
<http://purl.obolibrary.org/obo/CL_0000625>	"CD8-positive, alpha-beta T cell"
<http://purl.obolibrary.org/obo/CL_0000647>	"multinucleated giant cell"
<http://purl.obolibrary.org/obo/CL_0000738>	"leukocyte"
<http://purl.obolibrary.org/obo/CL_0000766>	"myeloid leukocyte"
<http://purl.obolibrary.org/obo/CL_0000767>	"basophil"
<http://purl.obolibrary.org/obo/CL_0000768>	"immature basophil"
<http://purl.obolibrary.org/obo/CL_0000769>	"basophilic metamyelocyte"
<http://purl.obolibrary.org/obo/CL_0000770>	"band form basophil"
<http://purl.obolibrary.org/obo/CL_0000771>	"eosinophil"
<http://purl.obolibrary.org/obo/CL_0000772>	"immature eosinophil"
<http://purl.obolibrary.org/obo/CL_0000773>	"eosinophilic metamyelocyte"
<http://purl.obolibrary.org/obo/CL_0000774>	"band form eosinophil"
<http://purl.obolibrary.org/obo/CL_0000775>	"neutrophil"
<http://purl.obolibrary.org/obo/CL_0000776>	"immature neutrophil"
<http://purl.obolibrary.org/obo/CL_0000777>	"mesangial phagocyte"
<http://purl.obolibrary.org/obo/CL_0000778>	"mononuclear osteoclast"
<http://purl.obolibrary.org/obo/CL_0000779>	"multinuclear osteoclast"
<http://purl.obolibrary.org/obo/CL_0000780>	"multinuclear odontoclast"
<http://purl.obolibrary.org/obo/CL_0000781>	"mononuclear odontoclast"
<http://purl.obolibrary.org/obo/CL_0000782>	"myeloid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000784>	"plasmacytoid dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000785>	"mature B cell"
<http://purl.obolibrary.org/obo/CL_0000786>	"plasma cell"
<http://purl.obolibrary.org/obo/CL_0000787>	"memory B cell"
<http://purl.obolibrary.org/obo/CL_0000788>	"naive B cell"
<http://purl.obolibrary.org/obo/CL_0000789>	"alpha-beta T cell"
<http://purl.obolibrary.org/obo/CL_0000790>	"immature alpha-beta T cell"
<http://purl.obolibrary.org/obo/CL_0000791>	"mature alpha-beta T cell"
<http://purl.obolibrary.org/obo/CL_0000792>	"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
<http://purl.obolibrary.org/obo/CL_0000793>	"CD4-positive, alpha-beta intraepithelial T cell"
<http://purl.obolibrary.org/obo/CL_0000794>	"CD8-positive, alpha-beta cytotoxic T cell"
<http://purl.obolibrary.org/obo/CL_0000795>	"CD8-positive, alpha-beta regulatory T cell"
<http://purl.obolibrary.org/obo/CL_0000796>	"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell"
<http://purl.obolibrary.org/obo/CL_0000797>	"alpha-beta intraepithelial T cell"
<http://purl.obolibrary.org/obo/CL_0000798>	"gamma-delta T cell"
<http://purl.obolibrary.org/obo/CL_0000799>	"immature gamma-delta T cell"
<http://purl.obolibrary.org/obo/CL_0000800>	"mature gamma-delta T cell"
<http://purl.obolibrary.org/obo/CL_0000801>	"gamma-delta intraepithelial T cell"
<http://purl.obolibrary.org/obo/CL_0000802>	"CD8-alpha alpha positive, gamma-delta intraepithelial T cell"
<http://purl.obolibrary.org/obo/CL_0000803>	"CD4-negative CD8-negative gamma-delta intraepithelial T cell"
<http://purl.obolibrary.org/obo/CL_0000805>	"immature single positive thymocyte"
<http://purl.obolibrary.org/obo/CL_0000806>	"DN2 thymocyte"
<http://purl.obolibrary.org/obo/CL_0000807>	"DN3 thymocyte"
<http://purl.obolibrary.org/obo/CL_0000808>	"DN4 thymocyte"
<http://purl.obolibrary.org/obo/CL_0000809>	"double-positive, alpha-beta thymocyte"
<http://purl.obolibrary.org/obo/CL_0000810>	"CD4-positive, alpha-beta thymocyte"
<http://purl.obolibrary.org/obo/CL_0000811>	"CD8-positive, alpha-beta thymocyte"
<http://purl.obolibrary.org/obo/CL_0000813>	"memory T cell"
<http://purl.obolibrary.org/obo/CL_0000814>	"mature NK T cell"
<http://purl.obolibrary.org/obo/CL_0000815>	"regulatory T cell"
<http://purl.obolibrary.org/obo/CL_0000816>	"immature B cell"
<http://purl.obolibrary.org/obo/CL_0000817>	"precursor B cell"
<http://purl.obolibrary.org/obo/CL_0000818>	"transitional stage B cell"
<http://purl.obolibrary.org/obo/CL_0000819>	"B-1 B cell"
<http://purl.obolibrary.org/obo/CL_0000820>	"B-1a B cell"
<http://purl.obolibrary.org/obo/CL_0000821>	"B-1b B cell"
<http://purl.obolibrary.org/obo/CL_0000822>	"B-2 B cell"
<http://purl.obolibrary.org/obo/CL_0000823>	"immature natural killer cell"
<http://purl.obolibrary.org/obo/CL_0000824>	"mature natural killer cell"
<http://purl.obolibrary.org/obo/CL_0000840>	"immature conventional dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000841>	"mature conventional dendritic cell"
<http://purl.obolibrary.org/obo/CL_0000842>	"mononuclear cell"
<http://purl.obolibrary.org/obo/CL_0000843>	"follicular B cell"
<http://purl.obolibrary.org/obo/CL_0000844>	"germinal center B cell"
<http://purl.obolibrary.org/obo/CL_0000845>	"marginal zone B cell"
<http://purl.obolibrary.org/obo/CL_0000860>	"classical monocyte"
<http://purl.obolibrary.org/obo/CL_0000861>	"elicited macrophage"
<http://purl.obolibrary.org/obo/CL_0000862>	"suppressor macrophage"
<http://purl.obolibrary.org/obo/CL_0000863>	"inflammatory macrophage"
<http://purl.obolibrary.org/obo/CL_0000864>	"tissue-resident macrophage"
<http://purl.obolibrary.org/obo/CL_0000865>	"gastrointestinal tract (lamina propria) macrophage"
<http://purl.obolibrary.org/obo/CL_0000866>	"thymic macrophage"
<http://purl.obolibrary.org/obo/CL_0000867>	"secondary lymphoid organ macrophage"
<http://purl.obolibrary.org/obo/CL_0000868>	"lymph node macrophage"
<http://purl.obolibrary.org/obo/CL_0000869>	"tonsillar macrophage"
<http://purl.obolibrary.org/obo/CL_0000870>	"Peyer's patch macrophage"
<http://purl.obolibrary.org/obo/CL_0000871>	"splenic macrophage"
<http://purl.obolibrary.org/obo/CL_0000872>	"splenic marginal zone macrophage"
<http://purl.obolibrary.org/obo/CL_0000873>	"splenic metallophillic macrophage"
<http://purl.obolibrary.org/obo/CL_0000874>	"splenic red pulp macrophage"
<http://purl.obolibrary.org/obo/CL_0000875>	"non-classical monocyte"
<http://purl.obolibrary.org/obo/CL_0000876>	"splenic white pulp macrophage"
<http://purl.obolibrary.org/obo/CL_0000877>	"splenic tingible body macrophage"
<http://purl.obolibrary.org/obo/CL_0000878>	"central nervous system macrophage"
<http://purl.obolibrary.org/obo/CL_0000879>	"meningeal macrophage"
<http://purl.obolibrary.org/obo/CL_0000880>	"choroid-plexus macrophage"
<http://purl.obolibrary.org/obo/CL_0000881>	"perivascular macrophage"
<http://purl.obolibrary.org/obo/CL_0000882>	"thymic medullary macrophage"
<http://purl.obolibrary.org/obo/CL_0000883>	"thymic cortical macrophage"
<http://purl.obolibrary.org/obo/CL_0000884>	"mucosa-associated lymphoid tissue macrophage"
<http://purl.obolibrary.org/obo/CL_0000885>	"gut-associated lymphoid tissue macrophage"
<http://purl.obolibrary.org/obo/CL_0000886>	"nasal and broncial associated lymphoid tissue macrophage"
<http://purl.obolibrary.org/obo/CL_0000887>	"lymph node subcapsular sinus macrophage"
