table	as_iri	label	uberon_id	parent_id	parent_label	references	term_type
	https://purl.org/ccf/ASCTB-TEMP_cell-island	cell island		UBERON:0004027	chorionic plate	https://doi.org/10.1016/0198-8859(93)90138-Q, https://doi.org/10.1016/j.jim.2003.03.001, https://doi.org/10.1053/plac.2000.0559, https://doi.org/10.1093/humrep/dem265, https://doi.org/10.1095/biolreprod.106.055244, https://doi.org/10.1155/2021/6662201, https://doi.org/10.1242/dev.148932, PMID:8804361, https://doi.org/10.1016/j.ajpath.2014.08.006, https://doi.org/10.1016/S0143-4004(05)80438-2, https://doi.org/10.1007/BF01628222, https://doi.org/10.1056/NEJM197007232830408, https://doi.org/10.1146/annurev.bi.50.070181.002341, https://doi.org/10.1093/oxfordjournals.humrep.a136040, https://doi.org/10.1371/journal.pone.0169849, https://doi.org/10.1290/1071-2690(2001)037<0408:IOECFH>2.0.CO;2, https://doi.org/10.1016/j.jcyt.2017.03.001, https://doi.org/10.1093/humrep/den051, https://doi.org/10.1095/biolreprod.108.075226, https://doi.org/10.1095/biolreprod51.4.739, https://doi.org/10.1182/blood.V74.2.751.751, https://doi.org/10.1186/s13287-017-0757-1, https://doi.org/10.3346/jkms.2012.27.8.857, https://doi.org/10.3390/cells1041061, https://doi.org/10.5966/sctm.2015-0022	leaf
	https://purl.org/ccf/ASCTB-TEMP_chorionic-ectoderm-from-chorion-	chorionic ectoderm (from chorion)		UBERON:0003124	chorion membrane	https://doi.org/10.1016/j.ajpath.2014.08.006, https://doi.org/10.1016/j.jim.2003.03.001, https://doi.org/10.1016/S0143-4004(05)80438-2, https://doi.org/10.1053/plac.2000.0559, https://doi.org/10.1095/biolreprod.106.055244, https://doi.org/10.1016/0198-8859(93)90138-Q, https://doi.org/10.1093/humrep/dem265, https://doi.org/10.1155/2021/6662201, https://doi.org/10.1242/dev.148932, PMID:8804361	leaf
	https://purl.org/ccf/ASCTB-TEMP_chorionic-ectoderm-from-chorionic-plate-	chorionic ectoderm (from chorionic plate)		UBERON:0004027	chorionic plate	https://doi.org/10.1016/j.ajpath.2014.08.006, https://doi.org/10.1016/j.jim.2003.03.001, https://doi.org/10.1016/S0143-4004(05)80438-2, https://doi.org/10.1053/plac.2000.0559, https://doi.org/10.1095/biolreprod.106.055244, https://doi.org/10.1007/BF01628222, https://doi.org/10.1056/NEJM197007232830408, https://doi.org/10.1146/annurev.bi.50.070181.002341, https://doi.org/10.1016/0198-8859(93)90138-Q, https://doi.org/10.1093/humrep/dem265, https://doi.org/10.1155/2021/6662201, https://doi.org/10.1242/dev.148932, PMID:8804361	leaf
	https://purl.org/ccf/ASCTB-TEMP_chorionic-mesoderm	chorionic mesoderm		UBERON:0003124	chorion membrane	https://doi.org/10.1016/j.jcyt.2017.03.001, https://doi.org/10.1093/humrep/den051, https://doi.org/10.1095/biolreprod.108.075226, https://doi.org/10.1095/biolreprod51.4.739, https://doi.org/10.1182/blood.V74.2.751.751, https://doi.org/10.1186/s13287-017-0757-1, https://doi.org/10.3346/jkms.2012.27.8.857, https://doi.org/10.3390/cells1041061, https://doi.org/10.5966/sctm.2015-0022	leaf
	https://purl.org/ccf/ASCTB-TEMP_anchoring-villus	anchoring villus		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_chorionic-mesoderm-from-chorion-	chorionic mesoderm (from chorion)		UBERON:0003124	chorion membrane		leaf
	https://purl.org/ccf/ASCTB-TEMP_chorionic-mesoderm-from-chorionic-plate-	chorionic mesoderm (from chorionic plate)		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_endometrial-lymphatic-vessel	endometrial lymphatic vessel		UBERON:0001295	endometrium		leaf
	https://purl.org/ccf/ASCTB-TEMP_floating-villus	floating villus		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_immature-intermediate-villus	immature intermediate villus		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_mature-intermediate-villus	mature intermediate villus		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_placental-disc	placental disc		UBERON:0001987	placenta		leaf
	https://purl.org/ccf/ASCTB-TEMP_stem-villous-vessel	stem villous vessel		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_stem-villus	stem villus		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_terminal-villus	terminal villus		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_trophoblast-island	trophoblast island		UBERON:0004027	chorionic plate		leaf
	https://purl.org/ccf/ASCTB-TEMP_villous-mesenchyme	villous mesenchyme		UBERON:0001987	placenta		leaf
