?x	?label
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid12779	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid1290	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid1295	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid29959	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid40525	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid40534	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid40543	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid45945	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid45960	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid45978	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid45988	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46001	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46011	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46021	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46031	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46042	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46054	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46065	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid46076	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid48359	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid52586	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid55861	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid55938	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid58349	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid66400	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid66447	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid66455	
_:B05d78df2X2Dc11cX2D4d0aX2D8249X2D260fa42aed22genid68155	
